| searchIndex     | searchRa        | searchDec       | ned_name                     | ra              | dec             | object_type     | redshift        | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005232.92+083956.9 | 00:52:32.92     | +08:39:57.0     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005234.51+090927.8 | 00:52:34.52     | +09:09:27.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | NVSS J005244+083844          | 00:52:44.18     | +08:38:44.2     | RadioS          |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005242.59+083844.2 | 00:52:42.60     | +08:38:44.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005331.35+091013.3 | 00:53:31.35     | +09:10:13.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005200.99+084822.4 | 00:52:00.99     | +08:48:22.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005341.75+084014.6 | 00:53:41.76     | +08:40:14.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005409.93+090021.5 | 00:54:09.94     | +09:00:21.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005321.38+091112.1 | 00:53:21.38     | +09:11:12.1     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005228.01+084002.4 | 00:52:28.02     | +08:40:02.5     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | NVSS J005357+084327          | 00:53:57.67     | +08:43:27.7     | RadioS          |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005306.52+091146.1 | 00:53:06.52     | +09:11:46.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005324.80+091104.3 | 00:53:24.80     | +09:11:04.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00534952+0841164      | 00:53:49.52     | +08:41:15.9     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005200.73+090144.1 | 00:52:00.73     | +09:01:44.1     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | NVSS J005230+083927          | 00:52:30.36     | +08:39:27.7     | RadioS          |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005215.98+084201.7 | 00:52:15.99     | +08:42:01.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005209.57+090534.8 | 00:52:09.57     | +09:05:34.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00522817+0839354      | 00:52:28.17     | +08:39:35.9     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005316.33+083703.8 | 00:53:16.34     | +08:37:03.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | PB 06198                     | 00:53:51.04     | +08:40:58.0     | Blue*           |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005343.65+083935.5 | 00:53:43.65     | +08:39:35.5     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005350.46+084048.6 | 00:53:50.47     | +08:40:48.7     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005335.62+083829.0 | 00:53:35.63     | +08:38:29.1     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 1RXS J005251.2+083702        | 00:52:51.20     | +08:37:02.0     | XrayS           |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005417.38+085228.5 | 00:54:17.38     | +08:52:28.5     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005225.04+090946.0 | 00:52:25.04     | +09:09:46.1     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005407.90+084526.5 | 00:54:08.07     | +08:45:27.7     | Blue*           |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005201.02+090333.0 | 00:52:01.02     | +09:03:33.1     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005355.17+090747.9 | 00:53:55.18     | +09:07:47.9     | UvS             |                 | 
